id_user;tweet;tanggal;;;id_user;tweet;tanggal
1,44E+18;@Audinayik_here @suenoseeker Nah iya sebenarnya paling yang kupermasalahin ceweknya aja sih. Semoga dijadiin pelajaran ke depannya aja. Udah tau pacar temennya ribet ya cari tebengan lain bukannya ngehina Menghindari drama itu lebih baik buat kesehatan mental ;Thu Dec 05 13:39:41 +0000 2024;;;1,44E+18;@Audinayik_here @suenoseeker Nah iya sebenarnya paling yang kupermasalahin ceweknya aja sih. Semoga dijadiin pelajaran ke depannya aja. Udah tau pacar temennya ribet ya cari tebengan lain bukannya ngehina Menghindari drama itu lebih baik buat kesehatan mental ;Thu Dec 05 13:39:41 +0000 2024
1,67E+18;Gratis Konsultasi Psikolog Manfaatkan 3 Layanan Bantuan Kesehatan Mental dari Pemerintah https://t.co/6DJWoCczRc;Thu Dec 05 13:35:19 +0000 2024;;;1,67E+18;Gratis Konsultasi Psikolog Manfaatkan 3 Layanan Bantuan Kesehatan Mental dari Pemerintah https://t.co/6DJWoCczRc;Thu Dec 05 13:35:19 +0000 2024
1,47E+18;@NYC1897 Asli capek bgt makanya aku putusin walaupun udh jalan hampir 5 tahun tapi demi kesehatan mental /heh;Thu Dec 05 13:35:19 +0000 2024;;;1,47E+18;@NYC1897 Asli capek bgt makanya aku putusin walaupun udh jalan hampir 5 tahun tapi demi kesehatan mental /heh;Thu Dec 05 13:35:19 +0000 2024
1,43E+18;Kesehatan mental yang baik dapat mendukung produktivitas kualitas hidup dan juga hubungan sosial. Dukungan dari orang terdekat sangat dibutuhkan untuk mengatasi semua permasalah yang dapat mengganggu kesehatan mental. Ulasan Ellisa Putri Wulandari: https://t.co/IZfKvk3Q3E;Thu Dec 05 13:27:15 +0000 2024;;;1,43E+18;Kesehatan mental yang baik dapat mendukung produktivitas kualitas hidup dan juga hubungan sosial. Dukungan dari orang terdekat sangat dibutuhkan untuk mengatasi semua permasalah yang dapat mengganggu kesehatan mental. Ulasan Ellisa Putri Wulandari: https://t.co/IZfKvk3Q3E;Thu Dec 05 13:27:15 +0000 2024
1404018642;Self love berhubungan erat dengan kesehatan mental karena melibatkan diri sendiri dengan sebaik mungkin. https://t.co/AMmllYDbWU;Thu Dec 05 13:10:13 +0000 2024;;;1404018642;Self love berhubungan erat dengan kesehatan mental karena melibatkan diri sendiri dengan sebaik mungkin. https://t.co/AMmllYDbWU;Thu Dec 05 13:10:13 +0000 2024
47271518;@CNNIndonesia Usul aa STNK: berlaku hingga alih pemilik/dijual. SIM: perlu assessment kesehatan fisik dan mental serta update pengetahuan keselamatan berkendara secara berkala.;Thu Dec 05 12:49:01 +0000 2024;;;47271518;@CNNIndonesia Usul aa STNK: berlaku hingga alih pemilik/dijual. SIM: perlu assessment kesehatan fisik dan mental serta update pengetahuan keselamatan berkendara secara berkala.;Thu Dec 05 12:49:01 +0000 2024
1,47E+18;kuliah tu pande2 ngecut off org2 yg ga berguna buat masa depan demi kesehatan mental dan jiwa;Thu Dec 05 12:48:57 +0000 2024;;;1,47E+18;kuliah tu pande2 ngecut off org2 yg ga berguna buat masa depan demi kesehatan mental dan jiwa;Thu Dec 05 12:48:57 +0000 2024
2669430458;Widihhh... Masih segitu amat Awas kesehatan mental kudu tetap dijaga loh Kang @ridwankamil Jangan smp ambisi merusak jiwa https://t.co/OeHtCXRjVx;Thu Dec 05 12:37:15 +0000 2024;;;2669430458;Widihhh... Masih segitu amat Awas kesehatan mental kudu tetap dijaga loh Kang @ridwankamil Jangan smp ambisi merusak jiwa https://t.co/OeHtCXRjVx;Thu Dec 05 12:37:15 +0000 2024
57914598;@komorobit menjaga kesehatan mental biar gak gilak;Thu Dec 05 12:35:16 +0000 2024;;;57914598;@komorobit menjaga kesehatan mental biar gak gilak;Thu Dec 05 12:35:16 +0000 2024
1130233230;@komorobit menjaga kesehatan mental penting yaa;Thu Dec 05 12:33:40 +0000 2024;;;1130233230;@komorobit menjaga kesehatan mental penting yaa;Thu Dec 05 12:33:40 +0000 2024
